game_id,play_id,week,tgt_nfl_id,tgt_name,tgt_pos,def_nfl_id,def_name,def_pos,pass_result,pass_length,route_of_targeted_receiver,team_coverage_type,first_frame,last_frame,first_sep,last_sep,delta,duration_s,delta_per_s,sep_score_25_throw,sep_score_25_catch,sep_score_air_blend,sep_delta_25
2023090700,101,1,44930,Josh Reynolds,WR,46137,Justin Reid,SS,I,22,CORNER,COVER_2_ZONE,1,21,4.4732985592289705,1.839673884143599,-2.633624675085372,2.0,-1.316812337542686,3,8,4.0,3
2023090700,461,1,44930,Josh Reynolds,WR,52546,L'Jarius Sneed,CB,C,13,POST,COVER_6_ZONE,1,10,4.32134238402837,8.102302141984094,3.780959757955724,0.9,4.2010663977285825,23,4,19.200000000000003,21
2023090700,736,1,46213,Justin Watson,WR,55910,Brian Branch,SS,C,18,CORNER,COVER_1_MAN,1,15,2.0646065000382046,2.6879360111431216,0.6233295111049171,1.4,0.4452353650749408,17,21,17.8,18
2023090700,877,1,46243,Marquez Valdes-Scantling,WR,47888,C.J. Gardner-Johnson,SS,C,13,HITCH,COVER_3_ZONE,1,10,5.417933185265399,6.2118676740574506,0.7939344887920514,0.9,0.8821494319911682,18,22,18.8,20
2023090700,1154,1,53541,Amon-Ra St. Brown,WR,54486,Trent McDuffie,CB,C,21,CROSS,COVER_3_ZONE,1,12,10.441934686637337,3.6311155310730623,-6.810819155564275,1.1,-6.191653777785704,0,1,0.2,0
2023090700,1422,1,53591,Noah Gray,TE,54562,Kerby Joseph,FS,I,23,CORNER,COVER_1_MAN,1,22,0.6768308503607086,3.034534560686367,2.3577037103256586,2.1,1.1227160525360278,20,23,20.6,23
2023090700,1494,1,38696,Marvin Jones,WR,54486,Trent McDuffie,CB,I,24,IN,COVER_3_ZONE,1,12,0.9160785992479026,1.090000000000001,0.1739214007520984,1.1,0.15811036432008943,15,19,15.8,16
2023090700,1563,1,55920,Rashee Rice,WR,55882,Jack Campbell,MLB,C,10,HITCH,COVER_3_ZONE,1,7,3.0633968074671616,3.153299858877996,0.08990305141083432,0.6,0.14983841901805722,14,19,15.000000000000002,15
2023090700,1588,1,46309,Richie James,WR,53953,Jerry Jacobs,CB,I,38,POST,COVER_4_ZONE,1,23,0.9476286192385681,1.1180339887498885,0.17040536951132035,2.2,0.07745698614150924,14,19,15.000000000000002,15
2023090700,1679,1,46243,Marquez Valdes-Scantling,WR,54653,Malcolm Rodriguez,ILB,C,33,GO,COVER_2_ZONE,1,18,4.851360633884065,11.072786460507578,6.221425826623513,1.7,3.6596622509550074,23,4,19.200000000000003,21
2023090700,1711,1,46213,Justin Watson,WR,53953,Jerry Jacobs,CB,C,23,CORNER,COVER_2_ZONE,1,19,4.031786204649251,7.961231060583532,3.929444855934281,1.8,2.1830249199634895,22,5,18.6,19
2023090700,1940,1,38696,Marvin Jones,WR,54486,Trent McDuffie,CB,I,18,OUT,COVER_2_ZONE,1,14,4.544403151129969,10.816006656802685,6.271603505672716,1.3,4.824310388979012,25,3,20.6,23
2023090700,2306,1,53449,Kadarius Toney,WR,55882,Jack Campbell,MLB,I,16,CROSS,COVER_2_ZONE,1,10,5.617775360407356,1.7575551200460193,-3.860220240361337,0.9,-4.2891336004014855,0,3,0.6000000000000001,0
2023090700,2487,1,46213,Justin Watson,WR,44906,Cameron Sutton,CB,I,36,POST,COVER_4_ZONE,1,20,2.030270917882641,1.3629746879527875,-0.6672962299298533,1.9,-0.35120854206834384,9,13,9.8,9
2023090700,2613,1,53541,Amon-Ra St. Brown,WR,54486,Trent McDuffie,CB,C,18,IN,COVER_1_MAN,1,12,1.4154857823376357,1.7256882684888357,0.31020248615120005,1.1,0.28200226013745455,16,20,16.8,17
2023090700,3089,1,43584,Kalif Raymond,WR,47882,Mike Edwards,FS,C,17,POST,COVER_3_ZONE,1,11,4.612027753602525,4.699489333959592,0.08746158035706753,1.0,0.08746158035706753,14,18,14.8,14
2023090700,3461,1,44930,Josh Reynolds,WR,54600,Joshua Williams,CB,C,18,IN,COVER_2_ZONE,1,13,3.2831996588693806,3.096837096135341,-0.18636256273403973,1.2,-0.15530213561169978,12,16,12.8,12
2023090700,3566,1,44930,Josh Reynolds,WR,52546,L'Jarius Sneed,CB,C,15,HITCH,COVER_1_MAN,1,10,1.4424978336205565,2.4906224121692917,1.0481245785487352,0.9,1.16458286505415,19,23,19.8,22
2023090700,3912,1,53449,Kadarius Toney,WR,55882,Jack Campbell,MLB,I,19,CROSS,COVER_3_ZONE,1,13,6.957707955929165,5.230009560220703,-1.7276983957084626,1.2,-1.4397486630903855,3,8,4.0,3
2023090700,3994,1,55920,Rashee Rice,WR,44906,Cameron Sutton,CB,I,20,CROSS,COVER_1_MAN,1,18,3.7278009603518263,1.320984481362289,-2.406816478989537,1.7,-1.41577439940561,3,8,4.0,3
2023090700,4041,1,46213,Justin Watson,WR,44906,Cameron Sutton,CB,I,25,CORNER,COVER_2_ZONE,1,19,0.575673518584968,1.428635712839351,0.852962194254383,1.8,0.47386788569687943,17,21,17.8,18
2023091000,185,1,53488,Terrace Marshall Jr.,WR,52272,Dee Alford,CB,C,11,IN,COVER_3_ZONE,1,9,3.8686560974064355,8.40401094716088,4.535354849754445,0.8,5.6691935621930565,24,5,20.200000000000003,22
2023091000,661,1,46094,Hayden Hurst,TE,54523,Troy Andersen,ILB,IN,12,IN,COVER_6_ZONE,1,10,2.1140009460735816,2.5899227787715926,0.475921832698011,0.9,0.5288020363311233,17,0,13.600000000000001,13
2023091000,842,1,46094,Hayden Hurst,TE,53469,Richie Grant,SS,I,17,IN,COVER_4_ZONE,1,10,2.563630238548454,1.056882207249229,-1.5067480312992252,0.9,-1.6741644792213612,3,8,4.0,3
2023091000,1193,1,46094,Hayden Hurst,TE,46215,Tre Flowers,CB,C,11,IN,COVER_3_ZONE,1,9,2.0115665537088274,1.2371337841963577,-0.7744327695124698,0.8,-0.9680409618905872,5,10,6.0,5
2023091000,1599,1,44931,Mack Hollins,WR,46124,Donte Jackson,CB,C,11,HITCH,COVER_3_ZONE,1,9,6.453169763767259,4.566322371449471,-1.8868473923177884,0.8,-2.3585592403972355,2,3,2.2,2
2023091000,1697,1,53488,Terrace Marshall Jr.,WR,46215,Tre Flowers,CB,I,16,GO,COVER_4_ZONE,1,16,1.759346469573294,1.1955333537798134,-0.5638131157934807,1.5,-0.37587541052898715,9,14,10.0,9
2023091000,1720,1,55904,Jonathan Mingo,WR,52424,A.J. Terrell,CB,I,11,HITCH,COVER_4_ZONE,1,18,0.5824087911424429,2.0496341136895633,1.4672253225471203,1.7,0.8630737191453649,19,23,19.8,22
