game_id,play_id,sep_at_arrival,n_defenders_r1,n_defenders_r2,closing_rate_last,pct_time_tight,tgt_nfl_id,tgt_name,tgt_pos,week,pass_result,pass_length,route_of_targeted_receiver,team_coverage_type,contested_raw,contested_severity_25
2023090700,101,1.8396735,0,1,0.34102172,0.0,44930,Josh Reynolds,WR,1,I,22,CORNER,COVER_2_ZONE,-0.04068162583890036,11
2023090700,461,3.6106791,0,0,4.3693075,0.0,44930,Josh Reynolds,WR,1,C,13,POST,COVER_6_ZONE,-0.13184261052782797,11
2023090700,736,2.6879354,0,0,0.0,0.0,46213,Justin Watson,WR,1,C,18,CORNER,COVER_1_MAN,-0.3535244208831136,7
2023090700,877,6.2118673,0,0,0.12944579,0.0,46243,Marquez Valdes-Scantling,WR,1,C,13,HITCH,COVER_3_ZONE,-1.0899105115705197,1
2023090700,1154,3.6311173,0,0,6.4725313,0.0,53541,Amon-Ra St. Brown,WR,1,C,21,CROSS,COVER_3_ZONE,-0.05066212765345185,10
2023090700,1422,3.0345342,0,0,0.0,0.0,53591,Noah Gray,TE,1,I,23,CORNER,COVER_1_MAN,-0.42716947427509466,5
2023090700,1494,1.0900011,0,1,0.46453238,0.0,38696,Marvin Jones,WR,1,I,24,IN,COVER_3_ZONE,0.13041692412824335,15
2023090700,1563,3.1532989,0,0,0.11616826,0.0,55920,Rashee Rice,WR,1,C,10,HITCH,COVER_3_ZONE,-0.44129774496659574,6
2023090700,1588,1.1180326,0,1,0.41047603,0.0,46309,Richie James,WR,1,I,38,POST,COVER_4_ZONE,0.11929253962887523,12
2023090700,1679,2.032167,0,0,3.2682424,0.0,46243,Marquez Valdes-Scantling,WR,1,C,33,GO,COVER_2_ZONE,0.09828653541442414,12
2023090700,1711,6.655408,0,0,3.3496416,0.0,46213,Justin Watson,WR,1,C,23,CORNER,COVER_2_ZONE,-0.8520667392886334,2
2023090700,1940,3.656368,0,0,5.090211,0.0,38696,Marvin Jones,WR,1,I,18,OUT,COVER_2_ZONE,-0.07262559941095892,12
2023090700,2306,1.7575552,0,1,5.0892496,0.0,53449,Kadarius Toney,WR,1,I,16,CROSS,COVER_2_ZONE,0.4307407323195636,21
2023090700,2487,1.3629752,0,1,0.12947291,0.0,46213,Justin Watson,WR,1,I,36,POST,COVER_4_ZONE,0.040380851924293,9
2023090700,2613,1.7256894,0,1,0.8629489,0.0,53541,Amon-Ra St. Brown,WR,1,C,18,IN,COVER_1_MAN,0.0334386303663966,13
