game_id,play_id,week,pass_result,pass_length,route_of_targeted_receiver,team_coverage_type,def_nfl_id,def_name,def_pos,closing_eff_25,closing_eff_raw,closed_fraction,avg_closing_rate,peak_closing_rate,pct_time_closing,angle_efficiency_mean,path_efficiency,overlap_frames
2023090700,101,1,I,22,CORNER,COVER_2_ZONE,46137,Justin Reid,SS,18,0.5354251657336422,0.5887435,1.316813,3.819785,0.9523809523809523,0.59787756,0.18139817,21
2023090700,461,1,C,13,POST,COVER_6_ZONE,53487,Nick Bolton,MLB,24,1.2265640087674348,0.46783826,7.355551,9.281368,0.9,0.88720345,1.0,10
2023090700,736,1,C,18,CORNER,COVER_1_MAN,47888,C.J. Gardner-Johnson,SS,15,0.2299488134631769,0.17428973,1.5547732,4.471779,0.9333333333333333,0.28765783,0.21289386,15
2023090700,877,1,C,13,HITCH,COVER_3_ZONE,54562,Kerby Joseph,FS,17,0.45005858422956946,0.20822439,3.2705116,3.5693169,0.9,0.8209294,0.669758,10
2023090700,1154,1,C,21,CROSS,COVER_3_ZONE,54486,Trent McDuffie,CB,23,1.0737114117352684,0.65225625,6.191651,6.7208433,0.9166666666666666,-0.6849867,1.0,12
2023090700,1422,1,I,23,CORNER,COVER_1_MAN,47888,C.J. Gardner-Johnson,SS,23,1.0689153121657955,0.7179655,4.5874233,7.4309444,0.9545454545454546,0.23175596,0.819193,22
2023090700,1494,1,I,24,IN,COVER_3_ZONE,46137,Justin Reid,SS,11,-0.035396933449587,0.099299915,1.3976704,2.158289,0.9166666666666666,-0.9430277,0.5207964,12
2023090700,1563,1,C,10,HITCH,COVER_3_ZONE,44888,Alex Anzalone,OLB,23,1.0631843244501216,0.4709385,6.38907,6.7704964,0.8571428571428571,0.57424766,1.0,7
2023090700,1588,1,I,38,POST,COVER_4_ZONE,47888,C.J. Gardner-Johnson,SS,23,1.114735006633311,0.71294147,5.4868913,6.150732,0.9565217391304348,0.22467135,0.68844855,23
2023090700,1679,1,C,33,GO,COVER_2_ZONE,53953,Jerry Jacobs,CB,25,1.4343532891971809,0.8267664,7.9539633,10.531783,0.9444444444444444,0.4904306,1.0,18
