game_id,play_id,tgt_nfl_id,caught,week,tgt_name,pass_length,sep_score_air_blend,last_sep,tgt_pos,delta_per_s,delta,first_sep,pass_result,n_defenders_r1,closing_rate_last,sep_at_arrival,n_defenders_r2,contested_severity_25
2023090700,101,44930,0,1,Josh Reynolds,22,7.6000000000000005,1.839673884143599,WR,-1.316812337542686,-2.633624675085372,4.4732985592289705,I,0,0.34102172,1.8396735,1,12
2023090700,194,41325,1,1,Jerick McKinnon,6,10.8,1.2264175471673522,RB,-0.8863013185227872,-0.7090410548182298,1.935458601985582,C,0,1.4633602,1.2264165,1,19
2023090700,219,53591,1,1,Noah Gray,4,6.6000000000000005,3.313200869250164,TE,-2.1513993699956284,-1.5059795589969398,4.819180428247104,C,0,2.703908,3.3132012,0,11
2023090700,361,38696,1,1,Marvin Jones,5,15.6,2.0886598574205433,WR,-0.08136092586047372,-0.12204138879071058,2.210701246211254,C,0,0.84433615,2.0886607,0,13
2023090700,436,53541,1,1,Amon-Ra St. Brown,6,14.600000000000001,2.574975728040949,WR,-0.3059879021539606,-0.18359274129237635,2.7585684693333254,C,0,0.21086633,2.5749755,0,10
2023090700,461,44930,1,1,Josh Reynolds,13,20.000000000000004,8.102302141984094,WR,4.2010663977285825,3.780959757955724,4.32134238402837,C,0,4.3693075,3.6106791,0,11
2023090700,530,53541,1,1,Amon-Ra St. Brown,4,8.8,2.3008042072284214,WR,-1.4870882756538721,-1.0409617929577104,3.341766000186132,C,0,1.8197304,2.3008032,0,14
2023090700,621,53541,1,1,Amon-Ra St. Brown,3,18.6,1.6787197502859137,WR,0.4568076105540623,0.2740845663324374,1.4046351839534763,C,0,0.0,1.6787196,1,16
2023090700,713,53591,0,1,Noah Gray,4,10.6,0.49335585534176274,TE,-1.0023936071419262,-0.7016755249993483,1.195031380341111,I,1,0.94433343,0.49335566,1,24
2023090700,736,46213,1,1,Justin Watson,18,18.6,2.6879360111431216,WR,0.4452353650749408,0.6233295111049171,2.0646065000382046,C,0,0.0,2.6879354,0,7
2023090700,877,46243,1,1,Marquez Valdes-Scantling,13,20.4,6.2118676740574506,WR,0.8821494319911682,0.7939344887920514,5.417933185265399,C,0,0.12944579,6.2118673,0,1
2023090700,902,55920,0,1,Rashee Rice,4,4.6000000000000005,1.5882380174268642,WR,-3.097039894199223,-1.8582239365195339,3.446461953946398,I,0,3.311784,1.5882393,1,20
2023090700,1001,55920,1,1,Rashee Rice,1,7.4,6.1038102853873175,WR,-1.1098234050042477,-1.2208057455046726,7.32461603089199,C,0,7.323022,3.9892359,0,13
2023090700,1069,53959,1,1,Brock Wright,5,6.6000000000000005,5.281533868110663,TE,-2.315255135954221,-1.1576275679771104,6.439161436087773,C,0,2.3171997,5.2815356,0,5
2023090700,1154,53541,1,1,Amon-Ra St. Brown,21,0.0,3.6311155310730623,WR,-6.191653777785704,-6.810819155564275,10.441934686637337,C,0,6.4725313,3.6311173,0,10
2023090700,1201,55899,1,1,Sam LaPorta,2,23.400000000000002,4.118846926021893,TE,3.222020011379881,1.9332120068279286,2.185634919193965,C,0,0.0,4.1188464,0,5
2023090700,1422,53591,0,1,Noah Gray,23,21.400000000000002,3.034534560686367,TE,1.1227160525360278,2.3577037103256586,0.6768308503607086,I,0,0.0,3.0345342,0,5
2023090700,1494,38696,0,1,Marvin Jones,24,17.6,1.090000000000001,WR,0.15811036432008943,0.1739214007520984,0.9160785992479026,I,0,0.46453238,1.0900011,1,16
2023090700,1563,55920,1,1,Rashee Rice,10,17.6,3.153299858877996,WR,0.14983841901805722,0.08990305141083432,3.0633968074671616,C,0,0.11616826,3.1532989,0,6
2023090700,1588,46309,0,1,Richie James,38,16.8,1.1180339887498885,WR,0.07745698614150924,0.17040536951132035,0.9476286192385681,I,0,0.41047603,1.1180326,1,13
2023090700,1618,55920,1,1,Rashee Rice,3,6.6000000000000005,3.524102722679912,WR,-2.354158826998471,-1.4124952961990824,4.936598018878994,C,0,2.352556,3.5240993,0,10
