game_id,play_id,play_blurb,tgt_name,route_of_targeted_receiver,sep_delta_25,closing_eff_25,contested_severity_25,xcatch_surprise_25,abi_100
2023090700,101,DET vs KC | W1 Q1 3rd&3 @ DET 32 | pass_len=22 | I | (14:25) (Shotgun) J.Goff pass incomplete deep right to J.Reynolds.,Josh Reynolds,CORNER,3,18,11,10,42.0
2023090700,461,DET vs KC | W1 Q1 1st&10 @ DET 34 | pass_len=13 | C | (7:30) J.Goff pass short right to J.Reynolds to KC 45 for 21 yards (T.McDuffie).,Josh Reynolds,POST,21,24,11,8,64.0
2023090700,736,KC vs DET | W1 Q1 3rd&8 @ KC 27 | pass_len=18 | C | (2:06) (Shotgun) P.Mahomes pass deep right to Ju.Watson to KC 46 for 19 yards (K.Joseph).,Justin Watson,CORNER,18,15,7,13,53.0
2023090700,877,KC vs DET | W1 Q2 2nd&5 @ DET 39 | pass_len=13 | C | (14:25) P.Mahomes pass short right to M.Valdes-Scantling to DET 25 for 14 yards (C.Gardner-Johnson).,Marquez Valdes-Scantling,HITCH,20,17,1,10,48.0
2023090700,1154,DET vs KC | W1 Q2 2nd&7 @ DET 39 | pass_len=21 | C | (10:11) J.Goff pass deep left to A.St. Brown to KC 40 for 21 yards (J.Reid).,Amon-Ra St. Brown,CROSS,0,23,10,12,45.0
2023090700,1422,KC vs DET | W1 Q2 3rd&5 @ KC 12 | pass_len=23 | I | (4:00) (Shotgun) P.Mahomes pass incomplete deep right to N.Gray [A.Hutchinson].,Noah Gray,CORNER,23,23,5,12,63.0
2023090700,1494,DET vs KC | W1 Q2 2nd&5 @ DET 46 | pass_len=24 | I | (3:06) J.Goff pass incomplete deep left to M.Jones.,Marvin Jones,IN,16,11,15,7,49.0
2023090700,1563,KC vs DET | W1 Q2 1st&10 @ KC 18 | pass_len=10 | C | (2:02) (Shotgun) P.Mahomes pass short right to R.Rice to KC 43 for 25 yards (J.Campbell).,Rashee Rice,HITCH,15,23,6,10,54.0
2023090700,1588,KC vs DET | W1 Q2 1st&10 @ KC 43 | pass_len=38 | I | (1:54) (Shotgun) P.Mahomes pass incomplete deep left to R.James.,Richie James,POST,15,23,12,4,54.0
2023090700,1679,KC vs DET | W1 Q2 3rd&17 @ KC 36 | pass_len=33 | C | (1:07) (Shotgun) P.Mahomes pass deep middle to M.Valdes-Scantling to DET 30 for 34 yards (J.Jacobs).,Marquez Valdes-Scantling,GO,21,25,12,19,77.0
2023090700,1711,"KC vs DET | W1 Q2 1st&10 @ DET 30 | pass_len=23 | C | (:45) (No Huddle, Shotgun) P.Mahomes pass deep left to Ju.Watson pushed ob at DET 4 for 26 yards (C.Gardner-Johnson).",Justin Watson,CORNER,19,18,2,8,47.0
2023090700,1940,DET vs KC | W1 Q2 2nd&10 @ DET 42 | pass_len=18 | I | (:09) (Shotgun) J.Goff pass incomplete deep right to M.Jones.,Marvin Jones,OUT,23,21,12,15,71.0
2023090700,2306,KC vs DET | W1 Q3 1st&10 @ KC 42 | pass_len=16 | I | (11:44) (Shotgun) P.Mahomes pass incomplete deep middle to K.Toney (J.Campbell).,Kadarius Toney,CROSS,0,21,21,12,54.0
2023090700,2487,KC vs DET | W1 Q3 1st&10 @ KC 35 | pass_len=36 | I | (9:37) P.Mahomes pass incomplete deep middle to Ju.Watson.,Justin Watson,POST,9,16,9,6,40.0
2023090700,2613,DET vs KC | W1 Q3 2nd&4 @ DET 23 | pass_len=18 | C | (8:08) J.Goff pass deep left to A.St. Brown to DET 41 for 18 yards (T.McDuffie).,Amon-Ra St. Brown,IN,17,22,13,16,68.0
